"province.name","year","province.code","indec.prov.code","fips.code","iso.code","region","date","election.type","round","party.label","party.acro","party.num","incumbent_party","pres_last.name","pres_first.name","vice.pres_last.name","vice.pres_first.name","votes","electors","votes.pct","electors.pct","party.votes","total.votes","turnout","registered.voters"
"CAPITAL FEDERAL",1983,101,2,"AR07","AR-C","BUENOS AIRES",1983-10-30,"PRESIDENTIAL","FIRST","BLANK VOTES","BLANK VOTES",9998,,".",".",".",".",21058,,,,1975257,2008679,85.77533,2341791
"CAPITAL FEDERAL",1983,101,2,"AR07","AR-C","BUENOS AIRES",1983-10-30,"PRESIDENTIAL","FIRST","NULL VOTES","NULL VOTES",9999,,".",".",".",".",12364,,,,1975257,2008679,85.77533,2341791
"CAPITAL FEDERAL",1983,101,2,"AR07","AR-C","BUENOS AIRES",1983-10-30,"PRESIDENTIAL","FIRST","INTRANSIGENTE","PI",,0,"ALENDE","OSCAR EDUARDO","VIALE","LISANDRO",88480,2,4.47942,3.7037037037037,1975257,2008679,85.77533,2341791
"CAPITAL FEDERAL",1983,101,2,"AR07","AR-C","BUENOS AIRES",1983-10-30,"PRESIDENTIAL","FIRST","UNION CIVICA RADICAL","UCR",,0,"ALFONSIN","RAUL RICARDO","MARTINEZ","VICTOR HIPOLITO ",1269352,37,64.26263,68.5185185185185,1975257,2008679,85.77533,2341791
"CAPITAL FEDERAL",1983,101,2,"AR07","AR-C","BUENOS AIRES",1983-10-30,"PRESIDENTIAL","FIRST","UNION DEL CENTRO DEMOCRATICO","UCEDE",,0,"ALSOGARAY","ALVARO CARLOS","ORIA","JORGE",25263,0,1.27897,0,1975257,2008679,85.77533,2341791
"CAPITAL FEDERAL",1983,101,2,"AR07","AR-C","BUENOS AIRES",1983-10-30,"PRESIDENTIAL","FIRST","DEMOCRATA CRISTIANO","PDC",,0,"CERRO","FRANCISCO","PONSATI","ARTURO",3630,0,0.18377,0,1975257,2008679,85.77533,2341791
"CAPITAL FEDERAL",1983,101,2,"AR07","AR-C","BUENOS AIRES",1983-10-30,"PRESIDENTIAL","FIRST","SOCIALISTA POPULAR","PSP",,0,"ESTEVEZ BOERO","GUILLERMO","ROSSI","EDGARDO",1740,0,0.08809,0,1975257,2008679,85.77533,2341791
"CAPITAL FEDERAL",1983,101,2,"AR07","AR-C","BUENOS AIRES",1983-10-30,"PRESIDENTIAL","FIRST","OBRERO","PO",,0,"FLORES","GREGORIO","GUAGNINI","CATALINA",2606,0,0.13193,0,1975257,2008679,85.77533,2341791
"CAPITAL FEDERAL",1983,101,2,"AR07","AR-C","BUENOS AIRES",1983-10-30,"PRESIDENTIAL","FIRST","MOVIMIENTO DE INTEGRACION Y DESARROLLO","MID",,0,"FRIGERIO","ROGELIO","SALONIA","ANTONIO",14480,0,0.73307,0,1975257,2008679,85.77533,2341791
"CAPITAL FEDERAL",1983,101,2,"AR07","AR-C","BUENOS AIRES",1983-10-30,"PRESIDENTIAL","FIRST","JUSTICIALISTA","PJ",,0,"LUDER","ITALO","BITTEL","DEOLINDO",540389,15,27.35791,27.7777777777778,1975257,2008679,85.77533,2341791
"CAPITAL FEDERAL",1983,101,2,"AR07","AR-C","BUENOS AIRES",1983-10-30,"PRESIDENTIAL","FIRST","ALIANZA FEDERAL","",,0,"MANRIQUE","FRANCISCO","RAWSON","GUILLERMO",14190,0,0.71839,0,1975257,2008679,85.77533,2341791
"CAPITAL FEDERAL",1983,101,2,"AR07","AR-C","BUENOS AIRES",1983-10-30,"PRESIDENTIAL","FIRST","ALIANZA DEMOCRATA SOCIALISTA","",,0,"MARTINEZ RAYMONDA","RAFAEL","BALESTRA","RENE HELVECIO",6238,0,0.31581,0,1975257,2008679,85.77533,2341791
"CAPITAL FEDERAL",1983,101,2,"AR07","AR-C","BUENOS AIRES",1983-10-30,"PRESIDENTIAL","FIRST","FRENTE DE IZQUIERDA POPULAR","",,0,"RAMOS","JORGE ABELARDO","COLOMBO","ELISA",1035,0,0.0524,0,1975257,2008679,85.77533,2341791
"CAPITAL FEDERAL",1983,101,2,"AR07","AR-C","BUENOS AIRES",1983-10-30,"PRESIDENTIAL","FIRST","MOVIMIENTO AL SOCIALISMO","MAS",,0,"ZAMORA","LUIS FERNANDO","DIAZ","SILVIA",7854,0,0.39762,0,1975257,2008679,85.77533,2341791
"BUENOS AIRES",1983,102,6,"AR01","AR-B","BUENOS AIRES",1983-10-30,"PRESIDENTIAL","FIRST","BLANK VOTES","BLANK VOTES",9998,,".",".",".",".",137866,,,,5599542,5759215,87.69414,6567389
"BUENOS AIRES",1983,102,6,"AR01","AR-B","BUENOS AIRES",1983-10-30,"PRESIDENTIAL","FIRST","NULL VOTES","NULL VOTES",9999,,".",".",".",".",21807,,,,5599542,5759215,87.69414,6567389
"BUENOS AIRES",1983,102,6,"AR01","AR-B","BUENOS AIRES",1983-10-30,"PRESIDENTIAL","FIRST","INTRANSIGENTE","PI",,0,"ALENDE","OSCAR EDUARDO","VIALE","LISANDRO",181488,0,3.24112,0,5599542,5759215,87.69414,6567389
"BUENOS AIRES",1983,102,6,"AR01","AR-B","BUENOS AIRES",1983-10-30,"PRESIDENTIAL","FIRST","UNION CIVICA RADICAL","UCR",,0,"ALFONSIN","RAUL RICARDO","MARTINEZ","VICTOR HIPOLITO ",2878858,79,51.41238,54.8611111111111,5599542,5759215,87.69414,6567389
"BUENOS AIRES",1983,102,6,"AR01","AR-B","BUENOS AIRES",1983-10-30,"PRESIDENTIAL","FIRST","UNION DEL CENTRO DEMOCRATICO","UCEDE",,0,"ALSOGARAY","ALVARO CARLOS","ORIA","JORGE",24882,0,0.44436,0,5599542,5759215,87.69414,6567389
"BUENOS AIRES",1983,102,6,"AR01","AR-B","BUENOS AIRES",1983-10-30,"PRESIDENTIAL","FIRST","DEMOCRATA CRISTIANO","PDC",,0,"CERRO","FRANCISCO","PONSATI","ARTURO",12764,0,0.22795,0,5599542,5759215,87.69414,6567389
"BUENOS AIRES",1983,102,6,"AR01","AR-B","BUENOS AIRES",1983-10-30,"PRESIDENTIAL","FIRST","SOCIALISTA POPULAR","PSP",,0,"ESTEVEZ BOERO","GUILLERMO","ROSSI","EDGARDO",4816,0,0.08601,0,5599542,5759215,87.69414,6567389
"BUENOS AIRES",1983,102,6,"AR01","AR-B","BUENOS AIRES",1983-10-30,"PRESIDENTIAL","FIRST","OBRERO","PO",,0,"FLORES","GREGORIO","GUAGNINI","CATALINA",6173,0,0.11024,0,5599542,5759215,87.69414,6567389
"BUENOS AIRES",1983,102,6,"AR01","AR-B","BUENOS AIRES",1983-10-30,"PRESIDENTIAL","FIRST","MOVIMIENTO DE INTEGRACION Y DESARROLLO","MID",,0,"FRIGERIO","ROGELIO","SALONIA","ANTONIO",47004,0,0.83943,0,5599542,5759215,87.69414,6567389
"BUENOS AIRES",1983,102,6,"AR01","AR-B","BUENOS AIRES",1983-10-30,"PRESIDENTIAL","FIRST","JUSTICIALISTA","PJ",,0,"LUDER","ITALO","BITTEL","DEOLINDO",2364585,65,42.22819,45.1388888888889,5599542,5759215,87.69414,6567389
"BUENOS AIRES",1983,102,6,"AR01","AR-B","BUENOS AIRES",1983-10-30,"PRESIDENTIAL","FIRST","ALIANZA FEDERAL","",,0,"MANRIQUE","FRANCISCO","RAWSON","GUILLERMO",33203,0,0.59296,0,5599542,5759215,87.69414,6567389
"BUENOS AIRES",1983,102,6,"AR01","AR-B","BUENOS AIRES",1983-10-30,"PRESIDENTIAL","FIRST","ALIANZA DEMOCRATA SOCIALISTA","",,0,"MARTINEZ RAYMONDA","RAFAEL","BALESTRA","RENE HELVECIO",13785,0,0.24618,0,5599542,5759215,87.69414,6567389
"BUENOS AIRES",1983,102,6,"AR01","AR-B","BUENOS AIRES",1983-10-30,"PRESIDENTIAL","FIRST","CONSERVADOR PRINCIPISTA","",,0,"NDA","NDA","NDA","NDA",3000,0,0.05358,0,5599542,5759215,87.69414,6567389
"BUENOS AIRES",1983,102,6,"AR01","AR-B","BUENOS AIRES",1983-10-30,"PRESIDENTIAL","FIRST","RENOVADOR DE LA PROVINCIA","",,0,"NDA","NDA","NDA","NDA",448,0,0.008,0,5599542,5759215,87.69414,6567389
"BUENOS AIRES",1983,102,6,"AR01","AR-B","BUENOS AIRES",1983-10-30,"PRESIDENTIAL","FIRST","FRENTE DE IZQUIERDA POPULAR","",,0,"RAMOS","JORGE ABELARDO","COLOMBO","ELISA",4074,0,0.07276,0,5599542,5759215,87.69414,6567389
"BUENOS AIRES",1983,102,6,"AR01","AR-B","BUENOS AIRES",1983-10-30,"PRESIDENTIAL","FIRST","MOVIMIENTO AL SOCIALISMO","MAS",,0,"ZAMORA","LUIS FERNANDO","DIAZ","SILVIA",24462,0,0.43686,0,5599542,5759215,87.69414,6567389
"CATAMARCA",1983,103,10,"AR02","AR-K","NOA",1983-10-30,"PRESIDENTIAL","FIRST","BLANK VOTES","BLANK VOTES",9998,,".",".",".",".",1911,,,,103857,107619,81.33975,132308
"CATAMARCA",1983,103,10,"AR02","AR-K","NOA",1983-10-30,"PRESIDENTIAL","FIRST","NULL VOTES","NULL VOTES",9999,,".",".",".",".",1851,,,,103857,107619,81.33975,132308
"CATAMARCA",1983,103,10,"AR02","AR-K","NOA",1983-10-30,"PRESIDENTIAL","FIRST","INTRANSIGENTE","PI",,0,"ALENDE","OSCAR EDUARDO","VIALE","LISANDRO",602,0,0.57964,0,103857,107619,81.33975,132308
"CATAMARCA",1983,103,10,"AR02","AR-K","NOA",1983-10-30,"PRESIDENTIAL","FIRST","UNION CIVICA RADICAL","UCR",,0,"ALFONSIN","RAUL RICARDO","MARTINEZ","VICTOR HIPOLITO ",48595,7,46.7903,50,103857,107619,81.33975,132308
"CATAMARCA",1983,103,10,"AR02","AR-K","NOA",1983-10-30,"PRESIDENTIAL","FIRST","DEMOCRATA CRISTIANO","PDC",,0,"CERRO","FRANCISCO","PONSATI","ARTURO",491,0,0.47277,0,103857,107619,81.33975,132308
"CATAMARCA",1983,103,10,"AR02","AR-K","NOA",1983-10-30,"PRESIDENTIAL","FIRST","MOVIMIENTO DE INTEGRACION Y DESARROLLO","MID",,0,"FRIGERIO","ROGELIO","SALONIA","ANTONIO",805,0,0.7751,0,103857,107619,81.33975,132308
"CATAMARCA",1983,103,10,"AR02","AR-K","NOA",1983-10-30,"PRESIDENTIAL","FIRST","JUSTICIALISTA","PJ",,0,"LUDER","ITALO","BITTEL","DEOLINDO",45329,7,43.64559,50,103857,107619,81.33975,132308
"CATAMARCA",1983,103,10,"AR02","AR-K","NOA",1983-10-30,"PRESIDENTIAL","FIRST","FEDERAL","",,0,"MANRIQUE","FRANCISCO","RAWSON","GUILLERMO",219,0,0.21087,0,103857,107619,81.33975,132308
"CATAMARCA",1983,103,10,"AR02","AR-K","NOA",1983-10-30,"PRESIDENTIAL","FIRST","SOCIALISTA DEMOCRATICO","PSD",,0,"MARTINEZ RAYMONDA","RAFAEL","BALESTRA","RENE HELVECIO",127,0,0.12228,0,103857,107619,81.33975,132308
"CATAMARCA",1983,103,10,"AR02","AR-K","NOA",1983-10-30,"PRESIDENTIAL","FIRST","DEMOCRATA DE CATAMARCA","",,0,"NDA","NDA","NDA","NDA",401,0,0.38611,0,103857,107619,81.33975,132308
"CATAMARCA",1983,103,10,"AR02","AR-K","NOA",1983-10-30,"PRESIDENTIAL","FIRST","LA VOZ DEL PUEBLO","",,0,"NDA","NDA","NDA","NDA",2735,0,2.63343,0,103857,107619,81.33975,132308
"CATAMARCA",1983,103,10,"AR02","AR-K","NOA",1983-10-30,"PRESIDENTIAL","FIRST","MOVIMIENTO POPULAR CATAMARQUEÑO","",,0,"NDA","NDA","NDA","NDA",4464,0,4.29822,0,103857,107619,81.33975,132308
"CATAMARCA",1983,103,10,"AR02","AR-K","NOA",1983-10-30,"PRESIDENTIAL","FIRST","MOVIMIENTO AL SOCIALISMO","MAS",,0,"ZAMORA","LUIS FERNANDO","DIAZ","SILVIA",89,0,0.08569,0,103857,107619,81.33975,132308
"CORDOBA",1983,104,14,"AR05","AR-X","CENTRO",1983-10-30,"PRESIDENTIAL","FIRST","BLANK VOTES","BLANK VOTES",9998,,".",".",".",".",28624,,,,1407836,1441217,88.34846,1631287
"CORDOBA",1983,104,14,"AR05","AR-X","CENTRO",1983-10-30,"PRESIDENTIAL","FIRST","NULL VOTES","NULL VOTES",9999,,".",".",".",".",4757,,,,1407836,1441217,88.34846,1631287
"CORDOBA",1983,104,14,"AR05","AR-X","CENTRO",1983-10-30,"PRESIDENTIAL","FIRST","INTRANSIGENTE","PI",,0,"ALENDE","OSCAR EDUARDO","VIALE","LISANDRO",12245,0,0.86977,0,1407836,1441217,88.34846,1631287
"CORDOBA",1983,104,14,"AR05","AR-X","CENTRO",1983-10-30,"PRESIDENTIAL","FIRST","UNION CIVICA RADICAL","UCR",,0,"ALFONSIN","RAUL RICARDO","MARTINEZ","VICTOR HIPOLITO ",791470,23,56.21891,57.5,1407836,1441217,88.34846,1631287
"CORDOBA",1983,104,14,"AR05","AR-X","CENTRO",1983-10-30,"PRESIDENTIAL","FIRST","DEMOCRATA CRISTIANO","PDC",,0,"CERRO","FRANCISCO","PONSATI","ARTURO",5218,0,0.37064,0,1407836,1441217,88.34846,1631287
"CORDOBA",1983,104,14,"AR05","AR-X","CENTRO",1983-10-30,"PRESIDENTIAL","FIRST","SOCIALISTA POPULAR","PSP",,0,"ESTEVEZ BOERO","GUILLERMO","ROSSI","EDGARDO",2563,0,0.18205,0,1407836,1441217,88.34846,1631287
"CORDOBA",1983,104,14,"AR05","AR-X","CENTRO",1983-10-30,"PRESIDENTIAL","FIRST","OBRERO","PO",,0,"FLORES","GREGORIO","GUAGNINI","CATALINA",767,0,0.05448,0,1407836,1441217,88.34846,1631287
"CORDOBA",1983,104,14,"AR05","AR-X","CENTRO",1983-10-30,"PRESIDENTIAL","FIRST","MOVIMIENTO DE INTEGRACION Y DESARROLLO","MID",,0,"FRIGERIO","ROGELIO","SALONIA","ANTONIO",13078,0,0.92894,0,1407836,1441217,88.34846,1631287
"CORDOBA",1983,104,14,"AR05","AR-X","CENTRO",1983-10-30,"PRESIDENTIAL","FIRST","JUSTICIALISTA","PJ",,0,"LUDER","ITALO","BITTEL","DEOLINDO",561954,17,39.91616,42.5,1407836,1441217,88.34846,1631287
"CORDOBA",1983,104,14,"AR05","AR-X","CENTRO",1983-10-30,"PRESIDENTIAL","FIRST","ALIANZA DEMOCRATA SOCIALISTA","",,0,"MARTINEZ RAYMONDA","RAFAEL","BALESTRA","RENE HELVECIO",2628,0,0.18667,0,1407836,1441217,88.34846,1631287
"CORDOBA",1983,104,14,"AR05","AR-X","CENTRO",1983-10-30,"PRESIDENTIAL","FIRST","CONFEDERACION NACIONAL DE CENTRO","",,0,"NDA","NDA","NDA","NDA",2257,0,0.16032,0,1407836,1441217,88.34846,1631287
"CORDOBA",1983,104,14,"AR05","AR-X","CENTRO",1983-10-30,"PRESIDENTIAL","FIRST","DEMOCRATA","PD",,0,"NDA","NDA","NDA","NDA",12232,0,0.86885,0,1407836,1441217,88.34846,1631287
"CORDOBA",1983,104,14,"AR05","AR-X","CENTRO",1983-10-30,"PRESIDENTIAL","FIRST","FRENTE DE IZQUIERDA POPULAR","",,0,"RAMOS","JORGE ABELARDO","COLOMBO","ELISA",1073,0,0.07622,0,1407836,1441217,88.34846,1631287
"CORDOBA",1983,104,14,"AR05","AR-X","CENTRO",1983-10-30,"PRESIDENTIAL","FIRST","MOVIMIENTO AL SOCIALISMO","MAS",,0,"ZAMORA","LUIS FERNANDO","DIAZ","SILVIA",2351,0,0.16699,0,1407836,1441217,88.34846,1631287
"CORRIENTES",1983,105,18,"AR06","AR-W","NEA",1983-10-30,"PRESIDENTIAL","FIRST","BLANK VOTES","BLANK VOTES",9998,,".",".",".",".",5175,,,,331567,339799,77.26252,439798
"CORRIENTES",1983,105,18,"AR06","AR-W","NEA",1983-10-30,"PRESIDENTIAL","FIRST","NULL VOTES","NULL VOTES",9999,,".",".",".",".",3057,,,,331567,339799,77.26252,439798
"CORRIENTES",1983,105,18,"AR06","AR-W","NEA",1983-10-30,"PRESIDENTIAL","FIRST","INTRANSIGENTE","PI",,0,"ALENDE","OSCAR EDUARDO","VIALE","LISANDRO",2467,0,0.74404,0,331567,339799,77.26252,439798
"CORRIENTES",1983,105,18,"AR06","AR-W","NEA",1983-10-30,"PRESIDENTIAL","FIRST","UNION CIVICA RADICAL","UCR",,0,"ALFONSIN","RAUL RICARDO","MARTINEZ","VICTOR HIPOLITO ",112216,7,33.84414,38.8888888888889,331567,339799,77.26252,439798
"CORRIENTES",1983,105,18,"AR06","AR-W","NEA",1983-10-30,"PRESIDENTIAL","FIRST","DEMOCRATA CRISTIANO","PDC",,0,"CERRO","FRANCISCO","PONSATI","ARTURO",2533,0,0.76395,0,331567,339799,77.26252,439798
"CORRIENTES",1983,105,18,"AR06","AR-W","NEA",1983-10-30,"PRESIDENTIAL","FIRST","SOCIALISTA POPULAR","PSP",,0,"ESTEVEZ BOERO","GUILLERMO","ROSSI","EDGARDO",166,0,0.05007,0,331567,339799,77.26252,439798
"CORRIENTES",1983,105,18,"AR06","AR-W","NEA",1983-10-30,"PRESIDENTIAL","FIRST","MOVIMIENTO DE INTEGRACION Y DESARROLLO","MID",,0,"FRIGERIO","ROGELIO","SALONIA","ANTONIO",11662,0,3.51724,0,331567,339799,77.26252,439798
"CORRIENTES",1983,105,18,"AR06","AR-W","NEA",1983-10-30,"PRESIDENTIAL","FIRST","JUSTICIALISTA","PJ",,0,"LUDER","ITALO","BITTEL","DEOLINDO",94105,5,28.3819,27.7777777777778,331567,339799,77.26252,439798
"CORRIENTES",1983,105,18,"AR06","AR-W","NEA",1983-10-30,"PRESIDENTIAL","FIRST","ALIANZA FEDERAL","",,0,"MANRIQUE","FRANCISCO","RAWSON","GUILLERMO",2169,0,0.65417,0,331567,339799,77.26252,439798
"CORRIENTES",1983,105,18,"AR06","AR-W","NEA",1983-10-30,"PRESIDENTIAL","FIRST","DEMOCRATA PROGRESISTA","PDP",,0,"MARTINEZ RAYMONDA","RAFAEL","BALESTRA","RENE HELVECIO",1926,0,0.58088,0,331567,339799,77.26252,439798
"CORRIENTES",1983,105,18,"AR06","AR-W","NEA",1983-10-30,"PRESIDENTIAL","FIRST","PACTO AUTONONIMSTA LIBERAL","PAL",,0,"NDA","NDA","NDA","NDA",104052,6,31.38189,33.3333333333333,331567,339799,77.26252,439798
"CORRIENTES",1983,105,18,"AR06","AR-W","NEA",1983-10-30,"PRESIDENTIAL","FIRST","FRENTE DE IZQUIERDA POPULAR","",,0,"RAMOS","JORGE ABELARDO","COLOMBO","ELISA",271,0,0.08173,0,331567,339799,77.26252,439798
"CHACO",1983,106,22,"AR03","AR-H","NEA",1983-10-30,"PRESIDENTIAL","FIRST","BLANK VOTES","BLANK VOTES",9998,,".",".",".",".",9234,,,,330780,341436,75.90435,449824
"CHACO",1983,106,22,"AR03","AR-H","NEA",1983-10-30,"PRESIDENTIAL","FIRST","NULL VOTES","NULL VOTES",9999,,".",".",".",".",1422,,,,330780,341436,75.90435,449824
"CHACO",1983,106,22,"AR03","AR-H","NEA",1983-10-30,"PRESIDENTIAL","FIRST","INTRANSIGENTE","PI",,0,"ALENDE","OSCAR EDUARDO","VIALE","LISANDRO",1391,0,0.42052,0,330780,341436,75.90435,449824
"CHACO",1983,106,22,"AR03","AR-H","NEA",1983-10-30,"PRESIDENTIAL","FIRST","UNION CIVICA RADICAL","UCR",,0,"ALFONSIN","RAUL RICARDO","MARTINEZ","VICTOR HIPOLITO ",153971,9,46.54786,50,330780,341436,75.90435,449824
"CHACO",1983,106,22,"AR03","AR-H","NEA",1983-10-30,"PRESIDENTIAL","FIRST","DEMOCRATA CRISTIANO","PDC",,0,"CERRO","FRANCISCO","PONSATI","ARTURO",1688,0,0.51031,0,330780,341436,75.90435,449824
"CHACO",1983,106,22,"AR03","AR-H","NEA",1983-10-30,"PRESIDENTIAL","FIRST","MOVIMIENTO DE INTEGRACION Y DESARROLLO","MID",,0,"FRIGERIO","ROGELIO","SALONIA","ANTONIO",7141,0,2.15884,0,330780,341436,75.90435,449824
"CHACO",1983,106,22,"AR03","AR-H","NEA",1983-10-30,"PRESIDENTIAL","FIRST","JUSTICIALISTA","PJ",,0,"LUDER","ITALO","BITTEL","DEOLINDO",158721,9,47.98386,50,330780,341436,75.90435,449824
"CHACO",1983,106,22,"AR03","AR-H","NEA",1983-10-30,"PRESIDENTIAL","FIRST","FEDERAL","",,0,"MANRIQUE","FRANCISCO","RAWSON","GUILLERMO",1385,0,0.41871,0,330780,341436,75.90435,449824
"CHACO",1983,106,22,"AR03","AR-H","NEA",1983-10-30,"PRESIDENTIAL","FIRST","MOVIMIENTO LINEA POPULAR","",,0,"MANRIQUE","FRANCISCO","RAWSON","GUILLERMO",151,0,0.04565,0,330780,341436,75.90435,449824
"CHACO",1983,106,22,"AR03","AR-H","NEA",1983-10-30,"PRESIDENTIAL","FIRST","ALIANZA DEMOCRATA SOCIALISTA","",,0,"MARTINEZ RAYMONDA","RAFAEL","BALESTRA","RENE HELVECIO",428,0,0.12939,0,330780,341436,75.90435,449824
"CHACO",1983,106,22,"AR03","AR-H","NEA",1983-10-30,"PRESIDENTIAL","FIRST","MOVIMIENTO DE UNIDAD CHAQUEÑA","",,0,"NDA","NDA","NDA","NDA",2853,0,0.86251,0,330780,341436,75.90435,449824
"CHACO",1983,106,22,"AR03","AR-H","NEA",1983-10-30,"PRESIDENTIAL","FIRST","SOCIALISTA","",,0,"NDA","NDA","NDA","NDA",2289,0,0.692,0,330780,341436,75.90435,449824
"CHACO",1983,106,22,"AR03","AR-H","NEA",1983-10-30,"PRESIDENTIAL","FIRST","FRENTE DE IZQUIERDA POPULAR","",,0,"RAMOS","JORGE ABELARDO","COLOMBO","ELISA",496,0,0.14995,0,330780,341436,75.90435,449824
"CHACO",1983,106,22,"AR03","AR-H","NEA",1983-10-30,"PRESIDENTIAL","FIRST","MOVIMIENTO AL SOCIALISMO","MAS",,0,"ZAMORA","LUIS FERNANDO","DIAZ","SILVIA",266,0,0.08042,0,330780,341436,75.90435,449824
"CHUBUT",1983,107,26,"AR04","AR-U","PATAGONIA",1983-10-30,"PRESIDENTIAL","FIRST","BLANK VOTES","BLANK VOTES",9998,,".",".",".",".",3464,,,,111912,117079,80.63014,145205
"CHUBUT",1983,107,26,"AR04","AR-U","PATAGONIA",1983-10-30,"PRESIDENTIAL","FIRST","NULL VOTES","NULL VOTES",9999,,".",".",".",".",1703,,,,111912,117079,80.63014,145205
"CHUBUT",1983,107,26,"AR04","AR-U","PATAGONIA",1983-10-30,"PRESIDENTIAL","FIRST","INTRANSIGENTE","PI",,0,"ALENDE","OSCAR EDUARDO","VIALE","LISANDRO",1957,0,1.7487,0,111912,117079,80.63014,145205
"CHUBUT",1983,107,26,"AR04","AR-U","PATAGONIA",1983-10-30,"PRESIDENTIAL","FIRST","UNION CIVICA RADICAL","UCR",,0,"ALFONSIN","RAUL RICARDO","MARTINEZ","VICTOR HIPOLITO ",56912,8,50.85424,57.1428571428571,111912,117079,80.63014,145205
"CHUBUT",1983,107,26,"AR04","AR-U","PATAGONIA",1983-10-30,"PRESIDENTIAL","FIRST","DEMOCRATA CRISTIANO","PDC",,0,"CERRO","FRANCISCO","PONSATI","ARTURO",490,0,0.43784,0,111912,117079,80.63014,145205
"CHUBUT",1983,107,26,"AR04","AR-U","PATAGONIA",1983-10-30,"PRESIDENTIAL","FIRST","SOCIALISTA POPULAR","PSP",,0,"ESTEVEZ BOERO","GUILLERMO","ROSSI","EDGARDO",263,0,0.23501,0,111912,117079,80.63014,145205
"CHUBUT",1983,107,26,"AR04","AR-U","PATAGONIA",1983-10-30,"PRESIDENTIAL","FIRST","OBRERO","PO",,0,"FLORES","GREGORIO","GUAGNINI","CATALINA",43,0,0.03842,0,111912,117079,80.63014,145205
"CHUBUT",1983,107,26,"AR04","AR-U","PATAGONIA",1983-10-30,"PRESIDENTIAL","FIRST","MOVIMIENTO DE INTEGRACION Y DESARROLLO","MID",,0,"FRIGERIO","ROGELIO","SALONIA","ANTONIO",2362,0,2.11059,0,111912,117079,80.63014,145205
"CHUBUT",1983,107,26,"AR04","AR-U","PATAGONIA",1983-10-30,"PRESIDENTIAL","FIRST","JUSTICIALISTA","PJ",,0,"LUDER","ITALO","BITTEL","DEOLINDO",46400,6,41.46115,42.8571428571429,111912,117079,80.63014,145205
"CHUBUT",1983,107,26,"AR04","AR-U","PATAGONIA",1983-10-30,"PRESIDENTIAL","FIRST","FEDERAL","",,0,"MANRIQUE","FRANCISCO","RAWSON","GUILLERMO",415,0,0.37083,0,111912,117079,80.63014,145205
"CHUBUT",1983,107,26,"AR04","AR-U","PATAGONIA",1983-10-30,"PRESIDENTIAL","FIRST","ALIANZA DEMOCRATA SOCIALISTA","",,0,"MARTINEZ RAYMONDA","RAFAEL","BALESTRA","RENE HELVECIO",129,0,0.11527,0,111912,117079,80.63014,145205
"CHUBUT",1983,107,26,"AR04","AR-U","PATAGONIA",1983-10-30,"PRESIDENTIAL","FIRST","ACCION CHUBUTENSE","PACH",,0,"NDA","NDA","NDA","NDA",2640,0,2.359,0,111912,117079,80.63014,145205
"CHUBUT",1983,107,26,"AR04","AR-U","PATAGONIA",1983-10-30,"PRESIDENTIAL","FIRST","MOVIMIENTO AL SOCIALISMO","MAS",,0,"ZAMORA","LUIS FERNANDO","DIAZ","SILVIA",301,0,0.26896,0,111912,117079,80.63014,145205
"ENTRE RIOS",1983,108,30,"AR08","AR-E","CENTRO",1983-10-30,"PRESIDENTIAL","FIRST","BLANK VOTES","BLANK VOTES",9998,,".",".",".",".",8497,,,,508397,520166,83.69539,621499
"ENTRE RIOS",1983,108,30,"AR08","AR-E","CENTRO",1983-10-30,"PRESIDENTIAL","FIRST","NULL VOTES","NULL VOTES",9999,,".",".",".",".",3272,,,,508397,520166,83.69539,621499
"ENTRE RIOS",1983,108,30,"AR08","AR-E","CENTRO",1983-10-30,"PRESIDENTIAL","FIRST","INTRANSIGENTE","PI",,0,"ALENDE","OSCAR EDUARDO","VIALE","LISANDRO",7558,0,1.48663,0,508397,520166,83.69539,621499
"ENTRE RIOS",1983,108,30,"AR08","AR-E","CENTRO",1983-10-30,"PRESIDENTIAL","FIRST","UNION CIVICA RADICAL","UCR",,0,"ALFONSIN","RAUL RICARDO","MARTINEZ","VICTOR HIPOLITO ",251811,12,49.53039,54.5454545454545,508397,520166,83.69539,621499
"ENTRE RIOS",1983,108,30,"AR08","AR-E","CENTRO",1983-10-30,"PRESIDENTIAL","FIRST","DEMOCRATA CRISTIANO","PDC",,0,"CERRO","FRANCISCO","PONSATI","ARTURO",4773,0,0.93883,0,508397,520166,83.69539,621499
"ENTRE RIOS",1983,108,30,"AR08","AR-E","CENTRO",1983-10-30,"PRESIDENTIAL","FIRST","SOCIALISTA POPULAR","PSP",,0,"ESTEVEZ BOERO","GUILLERMO","ROSSI","EDGARDO",1562,0,0.30724,0,508397,520166,83.69539,621499
"ENTRE RIOS",1983,108,30,"AR08","AR-E","CENTRO",1983-10-30,"PRESIDENTIAL","FIRST","MOVIMIENTO DE INTEGRACION Y DESARROLLO","MID",,0,"FRIGERIO","ROGELIO","SALONIA","ANTONIO",7949,0,1.56354,0,508397,520166,83.69539,621499
"ENTRE RIOS",1983,108,30,"AR08","AR-E","CENTRO",1983-10-30,"PRESIDENTIAL","FIRST","JUSTICIALISTA","PJ",,0,"LUDER","ITALO","BITTEL","DEOLINDO",224778,10,44.21309,45.4545454545455,508397,520166,83.69539,621499
